,lat,lon,alt
CJZ4,53.2283,-106.3511,3027
CKA9,56.3364,-103.2842,1640
CHM2,53.275,-107.5669,1120
CKP2,50.06,-105.4,2250
CKK2,52.65,-104.8667,2200
CYSF,59.2503,-105.8339,1780
CCY2,50.3108,-107.7672,801
CYYN,50.2925,-107.6839,2412
CJY3,52.8367,-104.0514,2681
CKE8,52.4456,-109.1833,1532
CYBE,59.5614,-108.4681,2090
CKS7,51.9333,-103.8333,1025
CKT7,52.65,-105.7667,1740
CKU7,51.6853,-105.3669,1660
CJE3,49.6975,-103.8,1700
CKY2,50.3333,-102.2667,1934
CZWL,58.1069,-103.1672,2000
CYYO,51.81,-104.1669,1358
CYQV,51.2647,-102.4511,1746
CJL6,49.0944,-97.5339,1635
CJU6,50.9128,-97.3044,806
CJE7,51.1592,-98.3331,765
CAV6,50.0411,-96.5858,976
CYBV,52.3589,-97.0181,800
CJQ9,57.6194,-99.8753,729
CJP7,50.3967,-95.735,1050
CZTA,51.7844,-96.6922,950
CYBR,49.91,-99.9522,730
CYBT,57.8894,-101.6678,1343
CJS7,49.4803,-98.0158,1131
CJB2,49.4914,-98.0186,876
CHB2,58.7664,-94.1678,882
CYYQ,58.7392,-94.0664,20
CCC3,50.0319,-96.7328,96
CYCR,54.6108,-97.7603,785
CKZ6,49.1472,-98.8808,707
CYDN,51.1014,-100.0503,1525
CJJ4,49.1506,-100.5,999
CKM6,53.1086,-99.7978,1686
CKZ3,54.6714,-94.1453,881
CKQ6,50.4994,-99.8978,625
CKX4,51.0833,-97.4833,2114
CYFO,54.6781,-101.6681,825
CTR8,50.5925,-97.2997,998
CYGX,56.3578,-94.7108,861
CYGM,50.6281,-97.0433,476
CJR5,50.1636,-98.9425,753
CJJ2,49.55,-99.3333,900
CYGO,54.5583,-94.4908,1240
CJB6,54.7792,-93.7169,617
CZGI,54.8397,-94.0786,605
CJV8,53.1725,-99.3231,628
CJK2,53.52,-96.3711,861
CJT8,49.5092,-97.8506,886
CZBD,56.0517,-95.6181,815
CYIV,53.8572,-94.6536,643
CZJG,54.5189,-98.0461,772
CZEE,56.0367,-96.5061,729
CJS5,49.1517,-99.6903,615
CJT3,54.9153,-94.7981,1680
CZWH,58.6142,-101.4667,625
CYAX,50.2947,-96.01,1211
CJC8,56.2486,-101.3003,850
CYLR,56.5133,-99.9853,1200
CJN7,56.58,-96.2475,959
CZGR,52.045,-95.4661,700
CKR4,50.7033,-98.0567,1008
CYYL,56.8644,-101.0675,830
CJU3,50.0964,-98.5008,1170
CKF6,49.9675,-98.7603,840
CKG5,49.2461,-98.5386,950
CJR8,50.7644,-99.4969,1592
CJT5,49.2617,-101.0014,1000
CJU5,50.2719,-99.7631,1475
CKJ8,54.2581,-97.0111,1840
CJA3,49.2106,-98.0606,750
CJV5,50.2325,-99.51,957
CYNN,59.4853,-97.7811,1277
CEG8,58.9694,-99.975,964
CYNE,53.9583,-97.8442,962
CNL9,59.7081,-100.1175,734
CAV9,50.1378,-97.0614,971
CYOH,54.9331,-95.2789,755
CZMN,55.5894,-97.1636,664
CKQ9,51.6194,-96.8122,636
CZNG,52.9964,-97.2736,749
CJZ2,49.9933,-98.3033,727
CYPG,49.9031,-98.2739,860
CZFG,55.7492,-101.2514,884
CYRS,54.1675,-93.5575,960
CRP2,49.5806,-101.0503,745
CRM2,50.5739,-99.3608,1488
CKG2,50.9717,-97.0111,1016
CKB7,51.2344,-101.3842,725
CKD7,49.4083,-97.9906,1821
CKJ2,49.4531,-97.4225,865
CJW5,50.7642,-101.2842,779
CKL2,50.1722,-96.8722,1824
CZTM,55.8631,-92.0814,747
CKL5,50.4569,-100.6008,296
CKB8,50.5,-96.0981,1836
CJE4,54.8972,-99.8189,775
CKC8,49.4003,-98.6925,993
CJX5,49.6333,-100.2,1563
CZSN,56.7928,-98.9072,1480
CKA8,49.9244,-97.5489,951
CYST,53.8456,-94.8522,798
CKJ7,49.7061,-97.6806,767
CHS6,49.6678,-96.6472,785
CKK7,49.4939,-96.6989,831
CJB3,49.5494,-96.6794,888
CPJ6,49.4361,-96.9269,850
CJY5,50.3961,-100.4175,824
CZJN,52.1214,-101.2333,1875
CYBQ,58.7061,-98.5122,1100
CJR3,53.8264,-101.2003,922
CYQD,53.9714,-101.0839,873
CZLQ,55.3189,-97.7078,888
CKM7,55.7075,-97.8911,679
CYTH,55.8047,-97.8625,702
CTN6,49.6597,-98.6653,735
CKU2,49.6311,-98.6664,1169
CKR7,49.7847,-100.9506,1200
CYVD,49.8783,-100.9167,1440
CKZ7,49.1706,-97.92,1454
CWG2,49.9003,-97.0956,890
CWH7,49.9042,-97.1564,767
CYWG,49.91,-97.24,784
CJL5,49.8525,-96.9736,775
CYAV,50.0561,-97.0325,760
CWL4,50.2522,-97.6367,860
CJG4,52.6156,-96.185,840
CZAC,56.0894,-96.0892,623
CKA4,49.2808,-96.5011,950
